# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
8.6, 8.8, 15.0, 15.5, 0.0
8.6, 8.8, 15.5, 16.0, 0.0
8.6, 8.8, 16.0, 16.5, 0.0
8.6, 8.8, 16.5, 17.0, 0.0
8.6, 8.8, 17.0, 17.5, 0.0
8.8, 9.0, 0.0, 0.5, 0.0
8.8, 9.0, 0.5, 1.0, 0.0
8.8, 9.0, 1.0, 1.5, 0.0
8.8, 9.0, 1.5, 2.0, 0.0
8.8, 9.0, 2.0, 2.5, 0.02896184797364897
8.8, 9.0, 2.5, 3.0, 0.003633694017730894
8.8, 9.0, 3.0, 3.5, 0.001619412508744091
8.8, 9.0, 3.5, 4.0, 0.0
8.8, 9.0, 4.0, 4.5, 0.0
8.8, 9.0, 4.5, 5.0, 0.02619846761102923
8.8, 9.0, 5.0, 5.5, 0.04847453066484326
8.8, 9.0, 5.5, 6.0, 0.09485492408380602
8.8, 9.0, 6.0, 6.5, 0.11945786066456524
8.8, 9.0, 6.5, 7.0, 0.04322315147704049
8.8, 9.0, 7.0, 7.5, 0.030830843854276938
8.8, 9.0, 7.5, 8.0, 0.07670337408988796
8.8, 9.0, 8.0, 8.5, 0.07787048017627637
8.8, 9.0, 8.5, 9.0, 0.10587897879945345
8.8, 9.0, 9.0, 9.5, 0.11007859553723799
8.8, 9.0, 9.5, 10.0, 0.17252692768224454
8.8, 9.0, 10.0, 10.5, 0.04157745088359912
8.8, 9.0, 10.5, 11.0, 0.001956157899670008
8.8, 9.0, 11.0, 11.5, 0.0014567458113197878
8.8, 9.0, 11.5, 12.0, 0.0004463065017354125
8.8, 9.0, 12.0, 12.5, 0.00049170022771353
8.8, 9.0, 12.5, 13.0, 0.0003957748451729789
8.8, 9.0, 13.0, 13.5, 0.012730386856642817
8.8, 9.0, 13.5, 14.0, 0.00013024332530104608
8.8, 9.0, 14.0, 14.5, 0.0004017156064477741
8.8, 9.0, 14.5, 15.0, 0.00010042890161194352
8.8, 9.0, 15.0, 15.5, 0.0
8.8, 9.0, 15.5, 16.0, 0.0
8.8, 9.0, 16.0, 16.5, 0.0
