# Age (lower edge), Age (upper edge), Probability
15, 25, 0.0007105770708503606
25, 35, 0.007499895513735273
35, 45, 0.021078039523810155
45, 55, 0.022055792536894082
55, 65, 0.019023418311012452
65, 75, 0.01567849635925589
75, 85, 0.010283156627304753
85, 95, 0.0036706240571370355
